Using ADS Bumblebee for 2mass,,,
,,,
3/6/2018,,,
,,,
pubdate:[2017-6 TO 2017-12] citations(bibcode:2006AJ....131.1163S) property:refereed database:astronomy ,,,
,,,
,,,
315 results (interestingly, within 1 of the first six months' total!),,
@ARTICLE{2017ApJ...841...73K, YES and wise,,
@ARTICLE{2017Ap.....60..300K, YES,,
@ARTICLE{2017AN....338..635R, YES,,
@ARTICLE{2017AN....338..629C, YES,,
@ARTICLE{2017AJ....153..276Z, YES,,
@ARTICLE{2017AJ....153..267M, YES,,
@ARTICLE{2017AJ....153..263M, YES,,
@ARTICLE{2017AJ....153..259O, YES,,
@ARTICLE{2017AJ....153..256R, YES,,
@ARTICLE{2017AJ....153..252L, YES,,
@ARTICLE{2017AcA....67..131O, YES,,
@ARTICLE{2017A&A...602A.124R, YES,,
@ARTICLE{2017A&A...602A..95L, YES and herschel spitzer wise,,
@ARTICLE{2017A&A...602A..82D, YES,,
@ARTICLE{2017A&A...602A..67A, YES,,
@ARTICLE{2017A&A...602A..31C, YES,,
@ARTICLE{2017A&A...602A..30H, YES,,
