,article,2mass,skrutskie,bibcode,doi
206,@ARTICLE{2017MNRAS.465..293K,yes,yes,2017MNRAS.465..293K,10.1093/mnras/stw648
207,@ARTICLE{2017MNRAS.465..173P,yes,yes,2017MNRAS.465..173P,10.1093/mnras/stw2703
208,@ARTICLE{2017MNRAS.465...19T,yes,yes,2017MNRAS.465...19T,10.1093/mnras/stw2739
209,@ARTICLE{2017MNRAS.464.4721F,yes,yes,2017MNRAS.464.4721F,10.1093/mnras/stw2643
210,@ARTICLE{2017MNRAS.464.4624S,yes,yes,2017MNRAS.464.4624S,10.1093/mnras/stw2608
211,@ARTICLE{2017MNRAS.464.4360M,yes,yes,2017MNRAS.464.4360M,10.1093/mnras/stw2644
212,@ARTICLE{2017MNRAS.464.4331N,yes,yes,2017MNRAS.464.4331N,10.1093/mnras/stw2431
213,@ARTICLE{2017MNRAS.464.4255P,no,yes,2017MNRAS.464.4255P,10.1093/mnras/stw2648
214,@ARTICLE{2017MNRAS.464.3871S,yes,yes,2017MNRAS.464.3871S,10.1093/mnras/stw2628
215,@ARTICLE{2017JKAS...50....7S,yes,yes,2017JKAS...50....7S,10.5303/JKAS.2017.50.1.7
216,@ARTICLE{2017ApJS..228...18G,yes,yes,2017ApJS..228...18G,10.3847/1538-4365/228/2/18
217,@ARTICLE{2017ApJS..228...14C,no,yes,2017ApJS..228...14C,10.3847/1538-4365/228/2/14
218,@ARTICLE{2017ApJ...836..218L,yes,yes,2017ApJ...836..218L,10.3847/1538-4357/836/2/218
219,@ARTICLE{2017ApJ...836..200G,yes,yes,2017ApJ...836..200G,10.3847/1538-4357/836/2/200
220,@ARTICLE{2017ApJ...836..199H,yes,yes,2017ApJ...836..199H,10.3847/1538-4357/836/2/199
221,@ARTICLE{2017ApJ...836..180L,yes,yes,2017ApJ...836..180L,10.3847/1538-4357/aa5b98
222,@ARTICLE{2017ApJ...836..168J,yes,yes,2017ApJ...836..168J,10.3847/1538-4357/836/2/168
223,@ARTICLE{2017ApJ...836..158H,yes,yes,2017ApJ...836..158H,10.3847/1538-4357/836/2/158
224,@ARTICLE{2017ApJ...836...65M,yes,yes,2017ApJ...836...65M,10.3847/1538-4357/836/1/65
225,@ARTICLE{2017ApJ...836...34M,yes,yes,2017ApJ...836...34M,10.3847/1538-4357/836/1/34
226,@ARTICLE{2017ApJ...836...19M,yes,yes,2017ApJ...836...19M,10.3847/1538-4357/836/1/19
227,@ARTICLE{2017ApJ...835..285Z,yes,yes,2017ApJ...835..285Z,10.3847/1538-4357/835/2/285
228,@ARTICLE{2017ApJ...835..257L,yes,yes,2017ApJ...835..257L,10.3847/1538-4357/835/2/257
229,@ARTICLE{2017ApJ...835..223S,yes,yes,2017ApJ...835..223S,10.3847/1538-4357/835/2/223
230,@ARTICLE{2017ApJ...835..218P,yes,yes,2017ApJ...835..218P,10.3847/1538-4357/835/2/218
231,@ARTICLE{2017ApJ...835..208W,no,yes,2017ApJ...835..208W,10.3847/1538-4357/835/2/208
232,@ARTICLE{2017ApJ...835..184G,yes,yes,2017ApJ...835..184G,10.3847/1538-4357/835/2/184
233,@ARTICLE{2017ApJ...835..163S,yes,yes,2017ApJ...835..163S,10.3847/1538-4357/835/2/163
234,@ARTICLE{2017AJ....153...84K,yes,yes,2017AJ....153...84K,10.3847/1538-3881/153/2/84
235,@ARTICLE{2017AJ....153...75K,yes,yes,2017AJ....153...75K,10.3847/1538-3881/153/2/75
236,@ARTICLE{2017AJ....153...71F,yes,yes,2017AJ....153...71F,10.3847/1538-3881/153/2/71
237,@ARTICLE{2017AJ....153...66Z,yes,yes,2017AJ....153...66Z,10.3847/1538-3881/153/2/66
238,@ARTICLE{2017AJ....153...65M,yes,yes,2017AJ....153...65M,10.3847/1538-3881/153/2/65
239,@ARTICLE{2017AJ....153...64M,yes,yes,2017AJ....153...64M,10.1088/1361-6528/aa5276
240,@ARTICLE{2017AJ....153...53L,no,yes,2017AJ....153...53L,10.3847/1538-3881/153/2/53
241,@ARTICLE{2017AJ....153...51W,yes,yes,2017AJ....153...51W,10.3847/1538-3881/153/2/51
242,@ARTICLE{2017A&A...598L...4D,yes,yes,2017A&A...598L...4D,
243,@ARTICLE{2017A&A...598A.136M,yes,yes,2017A&A...598A.136M,
244,@ARTICLE{2017A&A...598A.124K,yes,yes,2017A&A...598A.124K,
245,@ARTICLE{2017A&A...598A.122B,yes,yes,2017A&A...598A.122B,
246,@ARTICLE{2017A&A...598A.119F,yes,yes,2017A&A...598A.119F,
247,@ARTICLE{2017A&A...598A..92L,yes,yes,2017A&A...598A..92L,
248,@ARTICLE{2017A&A...598A..82G,yes,yes,2017A&A...598A..82G,
249,@ARTICLE{2017A&A...598A..69H,yes,yes,2017A&A...598A..69H,
250,@ARTICLE{2017A&A...598A..54H,yes,yes,2017A&A...598A..54H,
251,@ARTICLE{2017A&A...598A...1M,yes,yes,2017A&A...598A...1M,
252,@ARTICLE{2017RAA....17....4D,yes,yes,2017RAA....17....4D,10.1088/1674-4527/17/1/4
253,@ARTICLE{2017PASP..129a4002M,yes,yes,2017PASP..129a4002M,10.1088/1538-3873/129/971/014002
254,@ARTICLE{2017NewA...50..104G,yes,yes,2017NewA...50..104G,10.1016/j.newast.2016.07.012
255,@ARTICLE{2017NewA...50...73B,yes,yes,2017NewA...50...73B,10.1016/j.newast.2016.07.010
256,@ARTICLE{2017MNRAS.464L..46S,yes,yes,2017MNRAS.464L..46S,10.1093/mnrasl/slw174
257,@ARTICLE{2017MNRAS.464.3657X,yes,yes,2017MNRAS.464.3657X,10.1093/mnras/stw2523
258,@ARTICLE{2017MNRAS.464.3256L,yes,yes,2017MNRAS.464.3256L,10.1093/mnras/stw2553
259,@ARTICLE{2017MNRAS.464.3040Z,yes,yes,2017MNRAS.464.3040Z,10.1093/mnras/stw2438
260,@ARTICLE{2017MNRAS.464.2910S,yes,yes,2017MNRAS.464.2910S,10.1093/mnras/stw2411
261,@ARTICLE{2017MNRAS.464.2730V,yes,yes,2017MNRAS.464.2730V,10.1093/mnras/stw2509
262,@ARTICLE{2017MNRAS.464.2708S,yes,yes,2017MNRAS.464.2708S,10.1093/mnras/stw2487
263,@ARTICLE{2017MNRAS.464.2687H,yes,yes,2017MNRAS.464.2687H,10.1093/mnras/stw2391
264,@ARTICLE{2017MNRAS.464.2672H,yes,yes,2017MNRAS.464.2672H,10.1093/mnras/stw2273
265,@ARTICLE{2017MNRAS.464.2565L,yes,yes,2017MNRAS.464.2565L,10.1093/mnras/stw2447
266,@ARTICLE{2017MNRAS.464.2545C,no,yes,2017MNRAS.464.2545C,10.1093/mnras/stw2497
267,@ARTICLE{2017MNRAS.464.2517H,yes,yes,2017MNRAS.464.2517H,10.1093/mnras/stw2466
268,@ARTICLE{2017MNRAS.464.1874C,yes,yes,2017MNRAS.464.1874C,10.1093/mnras/stw2435
269,@ARTICLE{2017MNRAS.464.1738D,yes,yes,2017MNRAS.464.1738D,10.1093/mnras/stw2465
270,@ARTICLE{2017MNRAS.464.1456J,yes,yes,2017MNRAS.464.1456J,10.1093/mnras/stw2458
271,@ARTICLE{2017MNRAS.464.1294Z,yes,yes,2017MNRAS.464.1294Z,10.1093/mnras/stw2335
272,@ARTICLE{2017MNRAS.464.1029N,yes,yes,2017MNRAS.464.1029N,10.1093/mnras/stw2385
273,@ARTICLE{2017MNRAS.464..850G,yes,yes,2017MNRAS.464..850G,10.1093/mnras/stw2345
274,@ARTICLE{2017MNRAS.464..356V,yes,yes,2017MNRAS.464..356V,10.1093/mnras/stw2330
275,@ARTICLE{2017MNRAS.464..194F,yes,yes,2017MNRAS.464..194F,10.1093/mnras/stw2339
276,@ARTICLE{2017MNRAS.464..170K,yes,yes,2017MNRAS.464..170K,10.1093/mnras/stw2319
277,@ARTICLE{2017AstBu..72....1M,yes,yes,2017AstBu..72....1M,10.1134/S1990341317030014
278,@ARTICLE{2017ApJS..228....7N,no,yes,2017ApJS..228....7N,10.3847/1538-4365/228/1/7
279,@ARTICLE{2017ApJ...835...93M,yes,yes,2017ApJ...835...93M,10.3847/1538-4357/835/1/93
