,article,2mass,skrutskie,bibcode,doi
106,@ARTICLE{2017AJ....154..207D,yes,yes,2017AJ....154..207D,10.3847/1538-3881/aa89f2
107,@ARTICLE{2017AJ....154..200M,yes,yes,2017AJ....154..200M,10.3847/1538-3881/aa803e
108,@ARTICLE{2017AJ....154..195B,yes,yes,2017AJ....154..195B,10.3847/1538-3881/aa8e9b
109,@ARTICLE{2017AJ....154..194L,yes,yes,2017AJ....154..194L,10.3847/1538-3881/aa8f95
110,@ARTICLE{2017AJ....154..183M,yes,yes,2017AJ....154..183M,10.3847/1538-3881/aa8038
111,@ARTICLE{2017AJ....154..182L,yes,yes,2017AJ....154..182L,10.3847/1538-3881/aa855e
112,@ARTICLE{2017AJ....154..177D,yes,yes,2017AJ....154..177D,10.3847/1538-3881/aa89eb
113,@ARTICLE{2017AJ....154..176S,yes,yes,2017AJ....154..176S,10.3847/1538-3881/aa8a74
114,@ARTICLE{2017A&A...608L...2P,yes,yes,2017A&A...608L...2P,
115,@ARTICLE{2017A&A...608A..13L,yes,yes,2017A&A...608A..13L,
116,@ARTICLE{2017A&A...608A..12S,no,yes,2017A&A...608A..12S,
117,@ARTICLE{2017A&A...608A...9V,yes,yes,2017A&A...608A...9V,
118,@ARTICLE{2017A&A...607A.130D,no,yes,2017A&A...607A.130D,
119,@ARTICLE{2017A&A...607A.127S,no,yes,2017A&A...607A.127S,
120,@ARTICLE{2017A&A...607A.110L,no,yes,2017A&A...607A.110L,
121,@ARTICLE{2017A&A...607A..86R,yes,yes,2017A&A...607A..86R,
122,@ARTICLE{2017A&A...607A..85L,no,yes,2017A&A...607A..85L,
123,@ARTICLE{2017RMxAA..53..449G,yes,yes,2017RMxAA..53..449G,
124,@ARTICLE{2017RAA....17..115J,yes,yes,2017RAA....17..115J,10.1088/1674-4527/17/11/115
125,@ARTICLE{2017PASP..129j4202H,yes,yes,2017PASP..129j4202H,10.1088/1538-3873/aa7f25
126,@ARTICLE{2017PASJ...69...76S,no,yes,2017PASJ...69...76S,10.1093/pasj/psx059
127,@ARTICLE{2017PASJ...69...75K,yes,yes,2017PASJ...69...75K,10.1093/pasj/psx058
128,@ARTICLE{2017NewA...56...50E,yes,yes,2017NewA...56...50E,10.1016/j.newast.2017.04.009
129,@ARTICLE{2017NewA...56...28P,no,yes,2017NewA...56...28P,10.1016/j.newast.2017.04.004
130,@ARTICLE{2017NewA...56...14T,no,yes,2017NewA...56...14T,10.1016/j.newast.2017.04.002
131,@ARTICLE{2017NewA...56...10G,no,yes,2017NewA...56...10G,10.1016/j.newast.2017.04.008
132,@ARTICLE{2017MPBu...44..335W,yes,yes,2017MPBu...44..335W,
133,@ARTICLE{2017MPBu...44..331W,yes,yes,2017MPBu...44..331W,
134,@ARTICLE{2017MPBu...44..325W,no,yes,2017MPBu...44..325W,
135,@ARTICLE{2017MPBu...44..289W,yes,yes,2017MPBu...44..289W,
136,@ARTICLE{2017MPBu...44..288R,yes,yes,2017MPBu...44..288R,
137,@ARTICLE{2017MNRAS.471.2187D,yes,yes,2017MNRAS.471.2187D,10.1093/mnras/stx1794
